Name Of Hotel,Rating,Location,Price AMD,Breakfast,Room,Outdoors,Ski,Activities,Food & Drink,Internet,Parking,Languages spoken,Wellness,Outdoor swimming pool,Spa
Gnishik Eco Lodge,9.6,Gnishik,"22,500",Not Included,Superior Double or Twin Room,Picnic area | Sun terrace | BBQ facilities | Terrace | Garden,Doesn't have,Tour or class about local culture (Additional charge) | Walking tours (Additional charge) | Horse riding (Additional charge),Wine/champagne (Additional charge) | Kid meals (Additional charge) | Special diet menus (on request) | Breakfast in the room,WiFi is available in all areas and is free of charge.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
Haghpat Hotel,8.9,Haghpat,"18,180",Included,Standard Twin Room,Outdoor fireplace | Picnic area | Outdoor furniture | Sun terrace | Barbecue | BBQ facilities | Patio | Terrace | Garden,Ski storage,Cooking class (Additional charge) | Tour or class about local culture (Additional charge) | Bike tours | Walking tours (Additional charge) | Pub crawls (Additional charge) | Beach | Badminton equipment | Evening entertainment | Beachfront | Horse riding (Off-site) | Cycling (Off-site) | Hiking | Games room | Skiing (Off-site) | Fishing,Coffee house on site | Fruits | Wine/champagne (Additional charge) | Kid meals (Additional charge) | Special diet menus (on request) | Breakfast in the room | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,Street parking | Secured parking,English | French | Russian,Doesn't have,Doesn't have,Doesn't have
Artson B&B Vagharshapat,9.8,Vagharshapat,"9,996",Not Included,Economy Single Room,Doesn't have,Doesn't have,Tour or class about local culture (Additional charge) | Walking tours (Additional charge) | Hiking (Additional charge),Coffee house on site | Fruits (Additional charge) | Wine/champagne (Additional charge) | Minibar | Tea/Coffee maker,WiFi is available in the hotel rooms and is free of charge.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
ValDa Hotel on TUMANYAN,9.2,Vanadzor,"18,000",Not Included,Family Suite,Picnic area | Outdoor furniture | Outdoor dining area | BBQ facilities (Additional charge) | Terrace | Garden,Doesn't have,Cooking class (Additional charge) | Tour or class about local culture (Additional charge) | Happy hour (Additional charge) | Themed dinner nights (Additional charge) | Walking tours (Additional charge) | Badminton equipment | Tennis equipment | Horse riding (Off-site) | Hiking (Additional charge) | Table tennis,Fruits (Additional charge) | Wine/champagne (Additional charge) | Kid-friendly buffet | Kid meals (Additional charge) | Special diet menus (on request) | Breakfast in the room | Bar | Restaurant | Tea/Coffee maker,WiFi is available in public areas and is free of charge.,Street parking,English | French | Russian,Doesn't have,Doesn't have,Doesn't have
Kamar Hotel Ijevan,9.7,Ijevan,"20,000",Not Included,Budget Single Room,Outdoor furniture,Doesn't have,Live sport events (broadcast) | Movie nights | Games room,Snack bar | Minibar,WiFi is available in all areas and is free of charge.,Accessible parking | Street parking | Secured parking,English | Russian,Doesn't have,Doesn't have,Doesn't have
Anush`s B&B,9,Tatʼev,"14,000",Included,Budget Twin Room,BBQ facilities | Terrace | Garden,Doesn't have,Table tennis | Billiards (Additional charge),Kid meals | Bar,WiFi is available in all areas and is free of charge.,Secured parking,English | Russian,Doesn't have,Doesn't have,Doesn't have
"Holiday Inn Express - Yerevan, an IHG Hotel",8.9,Yerevan,"45,000",Included,Double Room - Non-Smoking ,Terrace,Doesn't have,Evening entertainment (Additional charge),Coffee house on site | Fruits (Additional charge) | Wine/champagne (Additional charge) | Kid-friendly buffet | Kid meals (Additional charge) | Special diet menus (on request) | Snack bar | Breakfast in the room | Bar | Restaurant | Minibar | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,Parking garage | Secured parking,Arabic | English | Spanish | French | Armenian | Russian | Turkish,Doesn't have,Doesn't have,Doesn't have
ibis Yerevan Center,8.6,Yerevan,"42,000",Not Included,Standard Double Room,Doesn't have,Doesn't have,Live sport events (broadcast) | Tour or class about local culture | Walking tours,Coffee house on site | Fruits (Additional charge) | Wine/champagne (Additional charge) | Kid-friendly buffet | Kid meals | Bar | Minibar | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
ApartHotel in Alaverdi,9.7,Alaverdi,"7,140",Not Included,Single Room,Sun terrace | Balcony | Terrace | Garden,Doesn't have,Doesn't have,Coffee house on site | Fruits (Additional charge) | Wine/champagne (Additional charge) | Breakfast in the room | Minibar | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,Street parking,English | Russian,Spa lounge/relaxation area | Steam room | Sun umbrellas | Sun loungers or beach chairs,Doesn't have,Doesn't have
Oazis,7.9,Noratus,"7,360",Not Included,Budget Double Room,Sun terrace | Balcony | Garden,Doesn't have,Doesn't have,Breakfast in the room | Restaurant,WiFi is available in all areas and is free of charge.,,English | Armenian | Russian,,Doesn't have,Doesn't have
"B&B ANNA Chambarak,Աննա Հյուրատուն քՃամբարակում",9.6,Chambarak,"6,698",Not Included,Budget Double Room,Outdoor fireplace | Picnic area | Outdoor dining area | Sun terrace | Barbecue | BBQ facilities | Patio | Terrace | Garden,Doesn't have,Themed dinner nights | Walking tours | Foot bath | Evening entertainment (Additional charge) | Entertainment staff | Hiking (Additional charge) | Fishing | Sauna (Additional charge),Fruits | Wine/champagne | Tea/Coffee maker,WiFi is available in the hotel rooms and is free of charge.,Accessible parking | Parking garage | Secured parking,German | English | Russian,Doesn't have,Doesn't have,Doesn't have
Lori Guest House,9.2,Vanadzor,"18,000",Included,Deluxe Double or Twin Room,Doesn't have,Ski school (Additional charge),"Tour or class about local culture (Additional charge) | Horse riding (Off-site, Additional charge) | Cycling (Off-site) | Skiing (Off-site) | Fishing (Off-site, Additional charge)",Kid-friendly buffet | Kid meals (Additional charge) | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Loft Host Yerevan,9.3,Yerevan,"5,000",Not Included,Bed in Male Dormitory Room,Terrace | Garden,Doesn't have,Live sport events (broadcast) | Tour or class about local culture (Additional charge) | Walking tours (Additional charge) | Movie nights (Additional charge) | Pub crawls (Additional charge) | Evening entertainment (Additional charge) | Nightclub/DJ (Additional charge) | Hiking (Additional charge),Fruits (Additional charge) | Wine/champagne (Additional charge) | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,Street parking | Secured parking,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Argavand Hotel & Restaurant Complex,7.7,Argavand,"15,000",Included,Standard Double Room,BBQ facilities (Additional charge) | Garden,Doesn't have,Doesn't have,Coffee house on site | Fruits (Additional charge) | Wine/champagne (Additional charge) | Bar | Restaurant | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,Street parking,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Lara Hotel,9.2,Goris,"17,000",Included,Standard Single Room,Doesn't have,Doesn't have,Live sport events (broadcast) | Cooking class | Tour or class about local culture (Additional charge) | Bike tours | Walking tours | Pub crawls (Additional charge) | Horse riding (Off-site) | Diving (Off-site) | Bowling (Off-site) | Hiking (Additional charge) | Children's playground | Fishing (Off-site),Coffee house on site | Breakfast in the room | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,Street parking | Secured parking,English | Russian,Doesn't have,Doesn't have,Doesn't have
Eco Guest House Meghradzor,9.7,Meghradzor,"6,000",Included,Standard Triple Room,Doesn't have,Doesn't have,Doesn't have,Fruits (Additional charge) | Wine/champagne (Additional charge) | Breakfast in the room | Bar | Restaurant | Minibar | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,Accessible parking | Street parking | Secured parking,German | English | Spanish | French | Russian,Sun loungers or beach chairs | Massage | Sauna,Doesn't have,Doesn't have
Kantar Hostel,9.4,Yerevan,"8,000",Included,Bunk Bed in Female Dormitory Room  ,Doesn't have,Doesn't have,Doesn't have,Bar | Restaurant,WiFi is available in all areas and is free of charge.,,English | Armenian | Russian,Fitness centre | Sauna,Doesn't have,Doesn't have
Mina Hotel,8.9,Goris,"19,000",Included,Single Room,Terrace,Doesn't have,Live music/performance | Cooking class (Additional charge) | Tour or class about local culture (Additional charge) | Walking tours (Additional charge),Wine/champagne | Kid meals | Special diet menus (on request) | Bar | Restaurant | Minibar,WiFi is available in all areas and is free of charge.,,English | Armenian | Russian,Sun umbrellas | Sun loungers or beach chairs,Doesn't have,Doesn't have
Christy Hotel,8.9,Goris,"15,000",Included,Standard Single Room,Doesn't have,Doesn't have,Doesn't have,Kid-friendly buffet | Kid meals | Minibar | Tea/Coffee maker,WiFi is available in the hotel rooms and is free of charge.,Electric vehicle charging station | Street parking,English | Russian,Doesn't have,Doesn't have,Doesn't have
Har-Mar Hotel,9.9,Goris,"9,000",Not Included,Triple Room with Balcony,Terrace | Garden,Doesn't have,Tour or class about local culture (Additional charge) | Themed dinner nights | Walking tours (Additional charge) | Water sport facilities on site,Fruits (Additional charge) | Wine/champagne (Additional charge) | Special diet menus (on request) | Snack bar | Breakfast in the room | Bar | Restaurant | Minibar | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,Street parking,English | Armenian | Russian,Fitness/spa locker rooms | Personal trainer | Fitness classes | Fitness | Massage chair | Full body massage (Additional charge) | Hand massage (Additional charge) | Head massage (Additional charge) | Foot massage (Additional charge) | Neck massage (Additional charge) | Back massage (Additional charge) | Foot bath | Manicure | Beauty Services | Sun umbrellas | Sun loungers or beach chairs | Massage (Additional charge) | Spa and wellness centre (Additional charge) | Fitness centre | Sauna,Doesn't have,Doesn't have
Amberd Hotel,9,Byurakan,"50,000",Included,Superior Double Room,Outdoor dining area | Outdoor furniture | Balcony | Terrace,Doesn't have,"Tennis court (Off-site, Additional charge)",Tea/Coffee maker,WiFi is available in all areas and is free of charge.,Accessible parking | Parking garage | Secured parking,English | Russian,Doesn't have,Doesn't have,Doesn't have
Getahovit Resort,8.9,Ijevan,"28,000",Included,Standard Twin Room with Shared Bathroom,BBQ facilities (Additional charge) | Balcony | Terrace | Garden,Doesn't have,Doesn't have,Fruits (Additional charge) | Wine/champagne (Additional charge) | Special diet menus (on request) | Bar | Restaurant | Minibar,WiFi is available in all areas and is free of charge.,,English | French | Russian,Doesn't have,Doesn't have,Doesn't have
The Friends,8,Yerevan,"17,000",Not Included,Twin Room,Garden,Ski-to-door access | Ski equipment hire on site | Ski storage,Cooking class (Additional charge) | Tour or class about local culture | Bike tours (Additional charge) | Walking tours (Additional charge) | Public Bath | Open-air bath (Additional charge) | Evening entertainment | Hiking | Skiing (Off-site),Fruits (Additional charge) | Wine/champagne (Additional charge) | Special diet menus (on request) | Breakfast in the room,WiFi is available in all areas and is free of charge.,Accessible parking | Street parking | Secured parking,Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Armen's Guest House,9.7,Tatʼev,"8,400",Not Included,Twin Room with Bath,Doesn't have,Doesn't have,Movie nights | Games room,Kid-friendly buffet,WiFi is available in all areas and is free of charge.,Accessible parking | Street parking | Secured parking,English | Russian,Doesn't have,Doesn't have,Doesn't have
Ashot & Gohar B&B,9.7,Chʼiva,"8,000",Included,Standard Twin Room with Mountain View,Outdoor fireplace | Picnic area | Outdoor furniture | Outdoor dining area | Outdoor furniture | BBQ facilities | Garden,Doesn't have,Live sport events (broadcast) | Tour or class about local culture (Additional charge) | Themed dinner nights (Additional charge) | Walking tours (Additional charge) | Pub crawls (Additional charge) | Hiking (Off-site),Coffee house on site | Fruits (Additional charge) | Wine/champagne (Additional charge) | Kid-friendly buffet | Kid meals (Additional charge) | Special diet menus (on request) | Breakfast in the room | Bar | Restaurant | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,Accessible parking,English | Polish | Russian,Doesn't have,Doesn't have,Doesn't have
